id,comment,label,clean_comment
4448,You’ve got this! friend,Support,youve got friend
4449,Stop or face consequences. 😂,Threat,stop face consequence
4450,I can relate to this.,Emotional,relate
4451,Great attempt but lacks clarity. 😂,Constructive Criticism,great attempt lack clarity
4452,Worst thing ever. friend,Hate,worst thing ever friend
4453,I’ll get your page banned. omg,Threat,ill get page banned omg
4454,Check my page for giveaways! dude,Spam,check page giveaway dude
4455,DM for promotions. omg,Spam,dm promotion omg
4456,You have no talent. 😭,Hate,talent
4457,Will there be a part 2?,Question/Suggestion,part
4458,What tool did you use? friend,Question/Suggestion,tool use friend
4459,Stop or face consequences. friend,Threat,stop face consequence friend
4460,Follow me for followers! please,Spam,follow follower please
4461,Worst thing ever..,Hate,worst thing ever
4462,What tool did you use? 😂,Question/Suggestion,tool use
4463,Good effort but needs improvement. omg,Constructive Criticism,good effort need improvement omg
4464,I’ll get your page banned. tbh,Threat,ill get page banned tbh
4465,Good effort but needs improvement..,Constructive Criticism,good effort need improvement
4466,Can you make more like this? bro,Question/Suggestion,make like bro
4467,Will there be a part 2? now,Question/Suggestion,part
4468,Follow me for followers! ❤️,Spam,follow follower
4469,DM for promotions. ❤️,Spam,dm promotion
4470,I will report this. 😂,Threat,report
4471,This gave me chills..,Emotional,gave chill
4472,Worst thing ever. lol,Hate,worst thing ever lol
4473,Will there be a part 2? ❤️,Question/Suggestion,part
4474,Check my page for giveaways!,Spam,check page giveaway
4475,Visuals are nice but transitions feel off. dude,Constructive Criticism,visuals nice transition feel dude
4476,Click here for prizes! tbh,Spam,click prize tbh
4477,I felt nostalgic watching this.,Emotional,felt nostalgic watching
4478,Great attempt but lacks clarity. haha,Constructive Criticism,great attempt lack clarity haha
4479,This touched my heart. friend,Emotional,touched heart friend
4480,DM for promotions. bro,Spam,dm promotion bro
4481,Keep going! 😭,Support,keep going
4482,This is a warning. now,Threat,warning
4483,We believe in you! bro,Support,believe bro
4484,Great attempt but lacks clarity. 😂,Constructive Criticism,great attempt lack clarity
4485,Can you try a darker theme? now,Question/Suggestion,try darker theme
4486,I will report this. 😭,Threat,report
4487,Will there be a part 2? tbh,Question/Suggestion,part tbh
4488,Good effort but needs improvement. 😭,Constructive Criticism,good effort need improvement
4489,I felt nostalgic watching this. bro,Emotional,felt nostalgic watching bro
4490,This is a warning. ❤️,Threat,warning
4491,I’ll take action. now,Threat,ill take action
4492,This is a warning. please,Threat,warning please
4493,DM for promotions. tbh,Spam,dm promotion tbh
4494,Visuals are nice but transitions feel off. ❤️,Constructive Criticism,visuals nice transition feel
4495,I’ll take action.,Threat,ill take action
4496,This is a warning.!!,Threat,warning
4497,Will there be a part 2? now,Question/Suggestion,part
4498,This is terrible. lol,Hate,terrible lol
4499,This is a warning. dude,Threat,warning dude
4500,Visuals are nice but transitions feel off. dude,Constructive Criticism,visuals nice transition feel dude
4501,Click here for prizes!!!,Spam,click prize
4502,This is a warning. 😭,Threat,warning
4503,We believe in you! please,Support,believe please
4504,This made me emotional. lol,Emotional,made emotional lol
4505,This gave me chills. haha,Emotional,gave chill haha
4506,This sucks. omg,Hate,suck omg
4507,You can do it! ❤️,Support,
4508,I will report this. 😂,Threat,report
4509,I felt nostalgic watching this. haha,Emotional,felt nostalgic watching haha
4510,Join my group now! bro,Spam,join group bro
4511,DM for promotions. tbh,Spam,dm promotion tbh
4512,I will report this.,Threat,report
4513,DM for promotions. dude,Spam,dm promotion dude
4514,Loved this! now,Praise,loved
4515,You can do it! ❤️,Support,
4516,Stop or face consequences. thanks,Threat,stop face consequence thanks
4517,Worst thing ever. friend,Hate,worst thing ever friend
4518,Good effort but needs improvement. dude,Constructive Criticism,good effort need improvement dude
4519,Will there be a part 2?!!,Question/Suggestion,part
4520,Check my page for giveaways! asap,Spam,check page giveaway asap
4521,The audio could be better. now,Constructive Criticism,audio could better
4522,I felt nostalgic watching this. 😭,Emotional,felt nostalgic watching
4523,Nice idea but pacing feels slow. tbh,Constructive Criticism,nice idea pacing feel slow tbh
4524,I’ll get your page banned. ❤️,Threat,ill get page banned
4525,Check my page for giveaways! 😂,Spam,check page giveaway
4526,Can you upload a tutorial? lol,Question/Suggestion,upload tutorial lol
4527,Beautiful execution! tbh,Praise,beautiful execution tbh
4528,Visuals are nice but transitions feel off. lol,Constructive Criticism,visuals nice transition feel lol
4529,I’ll get your page banned. bro,Threat,ill get page banned bro
4530,This gave me chills. dude,Emotional,gave chill dude
4531,This made me emotional. 😭,Emotional,made emotional
4532,Loved this! ❤️,Praise,loved
4533,I’ll get your page banned. lol,Threat,ill get page banned lol
4534,Follow me for followers! haha,Spam,follow follower haha
4535,I will report this. friend,Threat,report friend
4536,Nice idea but pacing feels slow. omg,Constructive Criticism,nice idea pacing feel slow omg
4537,Amazing work!!!,Praise,amazing work
4538,Can you try a darker theme? lol,Question/Suggestion,try darker theme lol
4539,Click here for prizes!.,Spam,click prize
4540,Loved this! ❤️,Praise,loved
4541,This looks stunning! bro,Praise,look stunning bro
4542,This made me emotional. lol,Emotional,made emotional lol
4543,Proud of your progress! thanks,Support,proud progress thanks
4544,You’ve got this! tbh,Support,youve got tbh
4545,Nice idea but pacing feels slow. ❤️,Constructive Criticism,nice idea pacing feel slow
4546,Loved this! 😂,Praise,loved
4547,Stay strong!,Support,stay strong
4548,I can relate to this. please,Emotional,relate please
4549,Can you try a darker theme? dude,Question/Suggestion,try darker theme dude
4550,Will there be a part 2? bro,Question/Suggestion,part bro
4551,I will report this. bro,Threat,report bro
4552,I felt nostalgic watching this. tbh,Emotional,felt nostalgic watching tbh
4553,Click here for prizes! please,Spam,click prize please
4554,Stop or face consequences. bro,Threat,stop face consequence bro
4555,This looks stunning! asap,Praise,look stunning asap
4556,Great animation! 😂,Praise,great animation
4557,Join my group now!,Spam,join group
4558,What tool did you use? dude,Question/Suggestion,tool use dude
4559,Can you try a darker theme? bro,Question/Suggestion,try darker theme bro
4560,This is a warning. lol,Threat,warning lol
4561,Click here for prizes! friend,Spam,click prize friend
4562,Stay strong! haha,Support,stay strong haha
4563,Great attempt but lacks clarity. friend,Constructive Criticism,great attempt lack clarity friend
4564,Nice idea but pacing feels slow. tbh,Constructive Criticism,nice idea pacing feel slow tbh
4565,I’ll get your page banned. now,Threat,ill get page banned
4566,I can relate to this. please,Emotional,relate please
4567,Beautiful execution!!!,Praise,beautiful execution
4568,You have no talent. haha,Hate,talent haha
4569,This looks stunning! lol,Praise,look stunning lol
4570,DM for promotions. 😂,Spam,dm promotion
4571,I will report this. please,Threat,report please
4572,Worst thing ever. asap,Hate,worst thing ever asap
4573,The audio could be better. friend,Constructive Criticism,audio could better friend
4574,Beautiful execution! friend,Praise,beautiful execution friend
4575,I’ll get your page banned. 😭,Threat,ill get page banned
4576,This gave me chills. tbh,Emotional,gave chill tbh
4577,Join my group now! asap,Spam,join group asap
4578,The audio could be better. tbh,Constructive Criticism,audio could better tbh
4579,Visuals are nice but transitions feel off..,Constructive Criticism,visuals nice transition feel
4580,We believe in you!!!,Support,believe
4581,You can do it! dude,Support,dude
4582,Join my group now! haha,Spam,join group haha
4583,Join my group now! omg,Spam,join group omg
4584,I felt nostalgic watching this. omg,Emotional,felt nostalgic watching omg
4585,I’ll take action. 😂,Threat,ill take action
4586,Join my group now! lol,Spam,join group lol
4587,The audio could be better. asap,Constructive Criticism,audio could better asap
4588,What tool did you use? 😭,Question/Suggestion,tool use
4589,Fantastic quality! please,Praise,fantastic quality please
4590,Check my page for giveaways! now,Spam,check page giveaway
4591,Proud of your progress! now,Support,proud progress
4592,Click here for prizes! bro,Spam,click prize bro
4593,Join my group now! thanks,Spam,join group thanks
4594,Stay strong! lol,Support,stay strong lol
4595,Stay strong! ❤️,Support,stay strong
4596,This gave me chills. tbh,Emotional,gave chill tbh
4597,Amazing work!!!,Praise,amazing work
4598,Join my group now! friend,Spam,join group friend
4599,Join my group now! friend,Spam,join group friend
4600,Great attempt but lacks clarity.!!,Constructive Criticism,great attempt lack clarity
4601,This looks stunning! dude,Praise,look stunning dude
4602,This sucks.,Hate,suck
4603,The audio could be better. friend,Constructive Criticism,audio could better friend
4604,Worst thing ever..,Hate,worst thing ever
4605,Great animation! 😂,Praise,great animation
4606,Join my group now!,Spam,join group
4607,Stay strong! bro,Support,stay strong bro
4608,This touched my heart. thanks,Emotional,touched heart thanks
4609,Awful content. bro,Hate,awful content bro
4610,The audio could be better.!!,Constructive Criticism,audio could better
4611,I will report this. ❤️,Threat,report
4612,This touched my heart..,Emotional,touched heart
4613,I felt nostalgic watching this. dude,Emotional,felt nostalgic watching dude
4614,Keep going! omg,Support,keep going omg
4615,This is terrible. 😭,Hate,terrible
4616,DM for promotions. please,Spam,dm promotion please
4617,Fantastic quality! tbh,Praise,fantastic quality tbh
4618,This looks stunning! please,Praise,look stunning please
4619,You’ve got this! thanks,Support,youve got thanks
4620,This is a warning. asap,Threat,warning asap
4621,Can you try a darker theme? 😭,Question/Suggestion,try darker theme
4622,I felt nostalgic watching this. ❤️,Emotional,felt nostalgic watching
4623,This gave me chills.,Emotional,gave chill
4624,Great animation! now,Praise,great animation
4625,Stay strong!!!,Support,stay strong
4626,I’ll take action.!!,Threat,ill take action
4627,This sucks. please,Hate,suck please
4628,I felt nostalgic watching this. haha,Emotional,felt nostalgic watching haha
4629,You’ve got this! 😭,Support,youve got
4630,This touched my heart. ❤️,Emotional,touched heart
4631,Great attempt but lacks clarity. 😭,Constructive Criticism,great attempt lack clarity
4632,Join my group now! bro,Spam,join group bro
4633,Can you upload a tutorial? please,Question/Suggestion,upload tutorial please
4634,This is a warning. dude,Threat,warning dude
4635,This touched my heart. please,Emotional,touched heart please
4636,This looks stunning!,Praise,look stunning
4637,This made me emotional. tbh,Emotional,made emotional tbh
4638,I felt nostalgic watching this. haha,Emotional,felt nostalgic watching haha
4639,This touched my heart.,Emotional,touched heart
4640,I will report this..,Threat,report
4641,This gave me chills.,Emotional,gave chill
4642,I will report this. thanks,Threat,report thanks
4643,You have no talent.,Hate,talent
4644,Will there be a part 2?!!,Question/Suggestion,part
4645,Click here for prizes! thanks,Spam,click prize thanks
4646,You’ve got this! friend,Support,youve got friend
4647,Will there be a part 2? bro,Question/Suggestion,part bro
4648,I’ll take action.,Threat,ill take action
4649,You’ve got this! now,Support,youve got
4650,Nice idea but pacing feels slow..,Constructive Criticism,nice idea pacing feel slow
4651,Great attempt but lacks clarity. tbh,Constructive Criticism,great attempt lack clarity tbh
4652,What tool did you use? lol,Question/Suggestion,tool use lol
4653,The audio could be better. dude,Constructive Criticism,audio could better dude
4654,Good effort but needs improvement. dude,Constructive Criticism,good effort need improvement dude
4655,Awful content. haha,Hate,awful content haha
4656,Can you try a darker theme?!!,Question/Suggestion,try darker theme
4657,You’ve got this!.,Support,youve got
4658,I can relate to this. asap,Emotional,relate asap
4659,Amazing work!!!,Praise,amazing work
4660,Beautiful execution! 😂,Praise,beautiful execution
4661,This is terrible.,Hate,terrible
4662,Will there be a part 2? please,Question/Suggestion,part please
4663,I felt nostalgic watching this. haha,Emotional,felt nostalgic watching haha
4664,Can you upload a tutorial? tbh,Question/Suggestion,upload tutorial tbh
4665,Click here for prizes! thanks,Spam,click prize thanks
4666,Fantastic quality! ❤️,Praise,fantastic quality
4667,The audio could be better. lol,Constructive Criticism,audio could better lol
4668,DM for promotions. dude,Spam,dm promotion dude
4669,Click here for prizes! bro,Spam,click prize bro
4670,DM for promotions.!!,Spam,dm promotion
4671,Fantastic quality!.,Praise,fantastic quality
4672,Loved this! dude,Praise,loved dude
4673,Great animation! thanks,Praise,great animation thanks
4674,This made me emotional. bro,Emotional,made emotional bro
4675,Stay strong! haha,Support,stay strong haha
4676,Can you try a darker theme? thanks,Question/Suggestion,try darker theme thanks
4677,Worst thing ever. now,Hate,worst thing ever
4678,Great attempt but lacks clarity.,Constructive Criticism,great attempt lack clarity
4679,This made me emotional. 😂,Emotional,made emotional
4680,DM for promotions. 😂,Spam,dm promotion
4681,Great animation! tbh,Praise,great animation tbh
4682,You’ve got this! tbh,Support,youve got tbh
4683,Good effort but needs improvement. asap,Constructive Criticism,good effort need improvement asap
4684,Amazing work! lol,Praise,amazing work lol
4685,I will report this.,Threat,report
4686,Follow me for followers! haha,Spam,follow follower haha
4687,Fantastic quality! now,Praise,fantastic quality
4688,Visuals are nice but transitions feel off. ❤️,Constructive Criticism,visuals nice transition feel
4689,This gave me chills. omg,Emotional,gave chill omg
4690,This made me emotional. tbh,Emotional,made emotional tbh
4691,DM for promotions. dude,Spam,dm promotion dude
4692,We believe in you! asap,Support,believe asap
4693,Click here for prizes! tbh,Spam,click prize tbh
4694,Can you try a darker theme? tbh,Question/Suggestion,try darker theme tbh
4695,This looks stunning! 😂,Praise,look stunning
4696,Can you upload a tutorial? haha,Question/Suggestion,upload tutorial haha
4697,Worst thing ever. omg,Hate,worst thing ever omg
4698,Stop or face consequences. please,Threat,stop face consequence please
4699,DM for promotions..,Spam,dm promotion
4700,This made me emotional. ❤️,Emotional,made emotional
4701,Follow me for followers! tbh,Spam,follow follower tbh
4702,This made me emotional. dude,Emotional,made emotional dude
4703,Awful content. ❤️,Hate,awful content
4704,Follow me for followers!,Spam,follow follower
4705,Keep going! friend,Support,keep going friend
4706,Nice idea but pacing feels slow. please,Constructive Criticism,nice idea pacing feel slow please
4707,Stop or face consequences. please,Threat,stop face consequence please
4708,Amazing work! 😂,Praise,amazing work
4709,You have no talent. please,Hate,talent please
4710,Good effort but needs improvement. friend,Constructive Criticism,good effort need improvement friend
4711,I’ll take action..,Threat,ill take action
4712,This touched my heart. dude,Emotional,touched heart dude
4713,This is a warning. 😂,Threat,warning
4714,Stop or face consequences. tbh,Threat,stop face consequence tbh
4715,This is terrible..,Hate,terrible
4716,Keep going! asap,Support,keep going asap
4717,Nice idea but pacing feels slow. please,Constructive Criticism,nice idea pacing feel slow please
4718,Worst thing ever. ❤️,Hate,worst thing ever
4719,I felt nostalgic watching this. ❤️,Emotional,felt nostalgic watching
4720,Keep going!,Support,keep going
4721,Fantastic quality! thanks,Praise,fantastic quality thanks
4722,You have no talent. 😂,Hate,talent
4723,You have no talent. thanks,Hate,talent thanks
4724,This touched my heart. tbh,Emotional,touched heart tbh
4725,I’ll get your page banned. now,Threat,ill get page banned
4726,Good effort but needs improvement. haha,Constructive Criticism,good effort need improvement haha
4727,What tool did you use? 😂,Question/Suggestion,tool use
4728,Worst thing ever. please,Hate,worst thing ever please
4729,This is a warning. thanks,Threat,warning thanks
4730,Great attempt but lacks clarity. now,Constructive Criticism,great attempt lack clarity
4731,I felt nostalgic watching this. omg,Emotional,felt nostalgic watching omg
4732,Good effort but needs improvement. thanks,Constructive Criticism,good effort need improvement thanks
4733,Stay strong! 😂,Support,stay strong
4734,Can you try a darker theme? please,Question/Suggestion,try darker theme please
4735,You’ve got this! bro,Support,youve got bro
4736,This touched my heart..,Emotional,touched heart
4737,We believe in you! ❤️,Support,believe
4738,This gave me chills.!!,Emotional,gave chill
4739,You’ve got this! tbh,Support,youve got tbh
4740,Stop or face consequences. friend,Threat,stop face consequence friend
4741,I’ll take action. friend,Threat,ill take action friend
4742,Fantastic quality! omg,Praise,fantastic quality omg
4743,This sucks. omg,Hate,suck omg
4744,Good effort but needs improvement. asap,Constructive Criticism,good effort need improvement asap
4745,Stay strong! ❤️,Support,stay strong
4746,You’ve got this! now,Support,youve got
4747,Worst thing ever.,Hate,worst thing ever
4748,I can relate to this. haha,Emotional,relate haha
4749,Can you upload a tutorial? tbh,Question/Suggestion,upload tutorial tbh
4750,I’ll get your page banned. thanks,Threat,ill get page banned thanks
4751,I can relate to this. tbh,Emotional,relate tbh
4752,Stay strong! bro,Support,stay strong bro
4753,I’ll take action. friend,Threat,ill take action friend
4754,This touched my heart. dude,Emotional,touched heart dude
4755,This gave me chills. omg,Emotional,gave chill omg
4756,Click here for prizes!!!,Spam,click prize
4757,I felt nostalgic watching this.!!,Emotional,felt nostalgic watching
4758,Good effort but needs improvement..,Constructive Criticism,good effort need improvement
4759,Good effort but needs improvement. omg,Constructive Criticism,good effort need improvement omg
4760,The audio could be better. thanks,Constructive Criticism,audio could better thanks
4761,Join my group now! tbh,Spam,join group tbh
4762,Check my page for giveaways! haha,Spam,check page giveaway haha
4763,This is terrible. 😭,Hate,terrible
4764,Check my page for giveaways! now,Spam,check page giveaway
4765,This made me emotional. omg,Emotional,made emotional omg
4766,What tool did you use? haha,Question/Suggestion,tool use haha
4767,Great animation! thanks,Praise,great animation thanks
4768,Nice idea but pacing feels slow. friend,Constructive Criticism,nice idea pacing feel slow friend
4769,I’ll get your page banned. bro,Threat,ill get page banned bro
4770,The audio could be better. please,Constructive Criticism,audio could better please
4771,Can you upload a tutorial? thanks,Question/Suggestion,upload tutorial thanks
4772,This sucks. 😂,Hate,suck
4773,Join my group now! bro,Spam,join group bro
4774,We believe in you!.,Support,believe
4775,We believe in you!,Support,believe
4776,Proud of your progress! ❤️,Support,proud progress
4777,Proud of your progress! friend,Support,proud progress friend
4778,DM for promotions. dude,Spam,dm promotion dude
4779,Join my group now! 😂,Spam,join group
4780,We believe in you! lol,Support,believe lol
4781,This made me emotional.!!,Emotional,made emotional
4782,We believe in you!,Support,believe
4783,You’ve got this! haha,Support,youve got haha
4784,You’ve got this! friend,Support,youve got friend
4785,This made me emotional. 😭,Emotional,made emotional
4786,I’ll get your page banned.!!,Threat,ill get page banned
4787,Loved this! dude,Praise,loved dude
4788,What tool did you use? haha,Question/Suggestion,tool use haha
4789,You can do it! ❤️,Support,
4790,This touched my heart. haha,Emotional,touched heart haha
4791,Stay strong! haha,Support,stay strong haha
4792,Great attempt but lacks clarity. tbh,Constructive Criticism,great attempt lack clarity tbh
4793,Stay strong! thanks,Support,stay strong thanks
4794,Stop or face consequences.!!,Threat,stop face consequence
4795,This made me emotional..,Emotional,made emotional
4796,Good effort but needs improvement. ❤️,Constructive Criticism,good effort need improvement
4797,Proud of your progress! omg,Support,proud progress omg
4798,Awful content. now,Hate,awful content
4799,Click here for prizes! omg,Spam,click prize omg
4800,Good effort but needs improvement..,Constructive Criticism,good effort need improvement
4801,Click here for prizes! ❤️,Spam,click prize
4802,I will report this. tbh,Threat,report tbh
4803,What tool did you use?,Question/Suggestion,tool use
4804,Great attempt but lacks clarity. bro,Constructive Criticism,great attempt lack clarity bro
4805,Great attempt but lacks clarity. 😭,Constructive Criticism,great attempt lack clarity
4806,Nice idea but pacing feels slow. thanks,Constructive Criticism,nice idea pacing feel slow thanks
4807,Can you upload a tutorial? haha,Question/Suggestion,upload tutorial haha
4808,I felt nostalgic watching this. ❤️,Emotional,felt nostalgic watching
4809,This looks stunning! 😂,Praise,look stunning
4810,This is a warning.!!,Threat,warning
4811,Keep going! ❤️,Support,keep going
4812,This looks stunning! tbh,Praise,look stunning tbh
4813,This is terrible. lol,Hate,terrible lol
4814,Good effort but needs improvement. thanks,Constructive Criticism,good effort need improvement thanks
4815,Beautiful execution! please,Praise,beautiful execution please
4816,This is a warning.,Threat,warning
4817,This is terrible.,Hate,terrible
4818,Awful content. thanks,Hate,awful content thanks
4819,I felt nostalgic watching this. friend,Emotional,felt nostalgic watching friend
4820,This made me emotional. now,Emotional,made emotional
4821,This made me emotional.!!,Emotional,made emotional
4822,This made me emotional. friend,Emotional,made emotional friend
4823,Stay strong! tbh,Support,stay strong tbh
4824,This gave me chills.!!,Emotional,gave chill
4825,I’ll get your page banned. ❤️,Threat,ill get page banned
4826,Join my group now! asap,Spam,join group asap
4827,Check my page for giveaways! ❤️,Spam,check page giveaway
4828,Proud of your progress! friend,Support,proud progress friend
4829,This gave me chills. omg,Emotional,gave chill omg
4830,Beautiful execution! haha,Praise,beautiful execution haha
4831,Beautiful execution! lol,Praise,beautiful execution lol
4832,Nice idea but pacing feels slow. haha,Constructive Criticism,nice idea pacing feel slow haha
4833,You can do it! asap,Support,asap
4834,This is terrible. dude,Hate,terrible dude
4835,You have no talent. tbh,Hate,talent tbh
4836,I’ll get your page banned. 😂,Threat,ill get page banned
4837,I will report this. dude,Threat,report dude
4838,Can you try a darker theme? ❤️,Question/Suggestion,try darker theme
4839,DM for promotions. haha,Spam,dm promotion haha
4840,The audio could be better..,Constructive Criticism,audio could better
4841,DM for promotions. omg,Spam,dm promotion omg
4842,Keep going! friend,Support,keep going friend
4843,Good effort but needs improvement. asap,Constructive Criticism,good effort need improvement asap
4844,What tool did you use? haha,Question/Suggestion,tool use haha
4845,Awful content. omg,Hate,awful content omg
4846,This made me emotional..,Emotional,made emotional
4847,Proud of your progress!.,Support,proud progress
4848,I felt nostalgic watching this. please,Emotional,felt nostalgic watching please
4849,Proud of your progress! omg,Support,proud progress omg
4850,Can you upload a tutorial? now,Question/Suggestion,upload tutorial
4851,DM for promotions. friend,Spam,dm promotion friend
4852,Can you upload a tutorial? omg,Question/Suggestion,upload tutorial omg
4853,You have no talent. tbh,Hate,talent tbh
4854,Amazing work! haha,Praise,amazing work haha
4855,Awful content. dude,Hate,awful content dude
4856,Great animation! dude,Praise,great animation dude
4857,This made me emotional. omg,Emotional,made emotional omg
4858,Will there be a part 2?,Question/Suggestion,part
4859,I’ll take action. lol,Threat,ill take action lol
4860,I’ll take action. 😂,Threat,ill take action
4861,Can you make more like this? asap,Question/Suggestion,make like asap
4862,This sucks. tbh,Hate,suck tbh
4863,Awful content. ❤️,Hate,awful content
4864,The audio could be better. omg,Constructive Criticism,audio could better omg
4865,Follow me for followers! ❤️,Spam,follow follower
4866,Check my page for giveaways!!!,Spam,check page giveaway
4867,This is terrible. friend,Hate,terrible friend
4868,Awful content. bro,Hate,awful content bro
4869,Stay strong! haha,Support,stay strong haha
4870,Beautiful execution!!!,Praise,beautiful execution
4871,Visuals are nice but transitions feel off. haha,Constructive Criticism,visuals nice transition feel haha
4872,I can relate to this. bro,Emotional,relate bro
4873,Can you try a darker theme? please,Question/Suggestion,try darker theme please
4874,Will there be a part 2?!!,Question/Suggestion,part
4875,You have no talent. now,Hate,talent
4876,This made me emotional. 😭,Emotional,made emotional
4877,Join my group now! 😂,Spam,join group
4878,Keep going!!!,Support,keep going
4879,I’ll get your page banned. please,Threat,ill get page banned please
4880,You’ve got this! now,Support,youve got
4881,DM for promotions.!!,Spam,dm promotion
4882,Check my page for giveaways!,Spam,check page giveaway
4883,Stay strong! 😂,Support,stay strong
4884,Visuals are nice but transitions feel off. now,Constructive Criticism,visuals nice transition feel
4885,This gave me chills. now,Emotional,gave chill
4886,This sucks. ❤️,Hate,suck
4887,You have no talent. friend,Hate,talent friend
4888,Beautiful execution! thanks,Praise,beautiful execution thanks
4889,Can you make more like this? 😭,Question/Suggestion,make like
4890,Join my group now! 😭,Spam,join group
4891,Check my page for giveaways! lol,Spam,check page giveaway lol
4892,Follow me for followers!!!,Spam,follow follower
4893,Check my page for giveaways! haha,Spam,check page giveaway haha
4894,I can relate to this.,Emotional,relate
4895,Great attempt but lacks clarity. omg,Constructive Criticism,great attempt lack clarity omg
4896,Worst thing ever. asap,Hate,worst thing ever asap
4897,This touched my heart. tbh,Emotional,touched heart tbh
4898,Great attempt but lacks clarity. please,Constructive Criticism,great attempt lack clarity please
4899,Will there be a part 2? friend,Question/Suggestion,part friend
4900,This sucks. ❤️,Hate,suck
4901,You can do it!.,Support,
4902,Worst thing ever. bro,Hate,worst thing ever bro
4903,This touched my heart.!!,Emotional,touched heart
4904,Good effort but needs improvement. bro,Constructive Criticism,good effort need improvement bro
4905,Join my group now!!!,Spam,join group
4906,You have no talent. 😂,Hate,talent
4907,Visuals are nice but transitions feel off. ❤️,Constructive Criticism,visuals nice transition feel
4908,I will report this. now,Threat,report
4909,Can you make more like this? lol,Question/Suggestion,make like lol
4910,I can relate to this..,Emotional,relate
4911,I can relate to this. ❤️,Emotional,relate
4912,Visuals are nice but transitions feel off. now,Constructive Criticism,visuals nice transition feel
4913,Stay strong! please,Support,stay strong please
4914,Visuals are nice but transitions feel off. haha,Constructive Criticism,visuals nice transition feel haha
4915,Fantastic quality! ❤️,Praise,fantastic quality
4916,This sucks..,Hate,suck
4917,The audio could be better. dude,Constructive Criticism,audio could better dude
4918,Good effort but needs improvement..,Constructive Criticism,good effort need improvement
4919,Follow me for followers! friend,Spam,follow follower friend
4920,This gave me chills. 😭,Emotional,gave chill
4921,This made me emotional. lol,Emotional,made emotional lol
4922,Visuals are nice but transitions feel off.,Constructive Criticism,visuals nice transition feel
4923,You have no talent. please,Hate,talent please
4924,Can you try a darker theme? asap,Question/Suggestion,try darker theme asap
4925,Join my group now!,Spam,join group
4926,Good effort but needs improvement. bro,Constructive Criticism,good effort need improvement bro
4927,Keep going! haha,Support,keep going haha
4928,You can do it!,Support,
4929,Stop or face consequences. now,Threat,stop face consequence
4930,Follow me for followers!,Spam,follow follower
4931,Good effort but needs improvement. dude,Constructive Criticism,good effort need improvement dude
4932,Visuals are nice but transitions feel off.,Constructive Criticism,visuals nice transition feel
4933,Follow me for followers! asap,Spam,follow follower asap
4934,Great animation! 😂,Praise,great animation
4935,Great attempt but lacks clarity. now,Constructive Criticism,great attempt lack clarity
4936,We believe in you! please,Support,believe please
4937,This looks stunning! friend,Praise,look stunning friend
4938,Follow me for followers!.,Spam,follow follower
4939,You’ve got this! friend,Support,youve got friend
4940,Beautiful execution! haha,Praise,beautiful execution haha
4941,Loved this! friend,Praise,loved friend
4942,Follow me for followers! dude,Spam,follow follower dude
4943,This is terrible. omg,Hate,terrible omg
4944,I will report this. thanks,Threat,report thanks
4945,Follow me for followers! tbh,Spam,follow follower tbh
4946,Good effort but needs improvement. asap,Constructive Criticism,good effort need improvement asap
4947,This sucks. 😂,Hate,suck
4948,Click here for prizes!.,Spam,click prize
4949,Fantastic quality! bro,Praise,fantastic quality bro
4950,Keep going!.,Support,keep going
4951,I can relate to this. now,Emotional,relate
4952,Fantastic quality! 😂,Praise,fantastic quality
4953,This made me emotional.!!,Emotional,made emotional
4954,This touched my heart. dude,Emotional,touched heart dude
4955,Will there be a part 2? friend,Question/Suggestion,part friend
4956,Check my page for giveaways! tbh,Spam,check page giveaway tbh
4957,Fantastic quality! tbh,Praise,fantastic quality tbh
4958,Great animation! 😂,Praise,great animation
4959,This sucks. 😂,Hate,suck
4960,You’ve got this! dude,Support,youve got dude
4961,This is terrible.!!,Hate,terrible
4962,Follow me for followers! dude,Spam,follow follower dude
4963,This made me emotional. bro,Emotional,made emotional bro
4964,You can do it! 😭,Support,
4965,Proud of your progress! 😭,Support,proud progress
4966,I can relate to this. lol,Emotional,relate lol
4967,Amazing work! dude,Praise,amazing work dude
4968,Great animation! bro,Praise,great animation bro
4969,I will report this. thanks,Threat,report thanks
4970,This is terrible..,Hate,terrible
4971,We believe in you!!!,Support,believe
4972,Keep going! lol,Support,keep going lol
4973,Great animation! 😂,Praise,great animation
4974,We believe in you!,Support,believe
4975,This looks stunning!,Praise,look stunning
4976,This touched my heart. omg,Emotional,touched heart omg
4977,This made me emotional. bro,Emotional,made emotional bro
4978,Can you try a darker theme? asap,Question/Suggestion,try darker theme asap
4979,Visuals are nice but transitions feel off. now,Constructive Criticism,visuals nice transition feel
4980,I will report this. omg,Threat,report omg
4981,Click here for prizes! 😂,Spam,click prize
4982,Join my group now!!!,Spam,join group
4983,I’ll get your page banned. omg,Threat,ill get page banned omg
4984,This made me emotional. asap,Emotional,made emotional asap
4985,Stop or face consequences. tbh,Threat,stop face consequence tbh
4986,You can do it!.,Support,
4987,We believe in you! friend,Support,believe friend
4988,Join my group now!!!,Spam,join group
4989,The audio could be better.!!,Constructive Criticism,audio could better
4990,The audio could be better. now,Constructive Criticism,audio could better
4991,This gave me chills..,Emotional,gave chill
4992,Good effort but needs improvement..,Constructive Criticism,good effort need improvement
4993,Loved this! ❤️,Praise,loved
